Generator type,Fuel,Year,Country,value
Major power producers,Coal,2004,Wales,7234.1616
Major power producers,Oil,2004,Wales,0
Major power producers,Gas,2004,Wales,16244.9239
Major power producers,Nuclear,2004,Wales,7388
Major power producers,Hydro natural flow,2004,Wales,239.4421
Major power producers,Wind,2004,Wales,NA
Major power producers,Solar,2004,Wales,NA
Major power producers,Bioenergy,2004,Wales,50.9997
Major power producers,Other fuels,2004,Wales,NA
Major power producers,Hydro pumped storage,2004,Wales,1862.7804
Major power producers,Total major power producers,2004,Wales,33020.3077
Other generators,Coal,2004,Wales,0
Other generators,Oil,2004,Wales,38.7973
Other generators,Gas,2004,Wales,1117.9155
Other generators,Hydro natural flow,2004,Wales,47.0579
Other generators,Wind,2004,Wales,550.6
Other generators,Solar,2004,Wales,NA
Other generators,Shoreline wave and tidal,2004,Wales,NA
Other generators,Bioenergy,2004,Wales,140.8003
Other generators,Other fuels,2004,Wales,506.7433
Other generators,Total other generators,2004,Wales,2401.9143
All generating companies,Fossil fuels,2004,Wales,24635.7983
All generating companies,Coal,2004,Wales,7234.1616
All generating companies,Oil,2004,Wales,38.7973
All generating companies,Gas,2004,Wales,17362.8394
All generating companies,Nuclear,2004,Wales,7435.0579
All generating companies,Renewables,2004,Wales,1028.9
All generating companies,Hydro natural flow,2004,Wales,286.5
All generating companies,Wind,2004,Wales,550.6
All generating companies,Solar,2004,Wales,NA
All generating companies,Shoreline wave and tidal,2004,Wales,NA
All generating companies,Bioenergy,2004,Wales,191.8
All generating companies,Other fuels,2004,Wales,506.7433
All generating companies,Pumped storage,2004,Wales,1862.7804
All generating companies,Total all generating companies,2004,Wales,33099.7562
Major power producers,Coal,2004,Nothern Ireland,2710.9496
Major power producers,Oil,2004,Nothern Ireland,346.5484
Major power producers,Gas,2004,Nothern Ireland,4083.3725
Major power producers,Nuclear,2004,Nothern Ireland,0
Major power producers,Hydro natural flow,2004,Nothern Ireland,0
Major power producers,Wind,2004,Nothern Ireland,NA
Major power producers,Solar,2004,Nothern Ireland,NA
Major power producers,Bioenergy,2004,Nothern Ireland,0
Major power producers,Other fuels,2004,Nothern Ireland,NA
Major power producers,Hydro pumped storage,2004,Nothern Ireland,0
Major power producers,Total major power producers,2004,Nothern Ireland,7140.8704
Other generators,Coal,2004,Nothern Ireland,42
Other generators,Oil,2004,Nothern Ireland,41
Other generators,Gas,2004,Nothern Ireland,36
Other generators,Hydro natural flow,2004,Nothern Ireland,11.5
Other generators,Wind,2004,Nothern Ireland,139.5
Other generators,Solar,2004,Nothern Ireland,NA
Other generators,Shoreline wave and tidal,2004,Nothern Ireland,NA
Other generators,Bioenergy,2004,Nothern Ireland,1.6
Other generators,Other fuels,2004,Nothern Ireland,0
Other generators,Total other generators,2004,Nothern Ireland,271.6
All generating companies,Fossil fuels,2004,Nothern Ireland,7259.8704
All generating companies,Coal,2004,Nothern Ireland,2752.9496
All generating companies,Oil,2004,Nothern Ireland,387.5484
All generating companies,Gas,2004,Nothern Ireland,4119.3725
All generating companies,Nuclear,2004,Nothern Ireland,11.5
All generating companies,Renewables,2004,Nothern Ireland,152.6
All generating companies,Hydro natural flow,2004,Nothern Ireland,11.5
All generating companies,Wind,2004,Nothern Ireland,139.5
All generating companies,Solar,2004,Nothern Ireland,NA
All generating companies,Shoreline wave and tidal,2004,Nothern Ireland,NA
All generating companies,Bioenergy,2004,Nothern Ireland,1.6
All generating companies,Other fuels,2004,Nothern Ireland,0
All generating companies,Pumped storage,2004,Nothern Ireland,0
All generating companies,Total all generating companies,2004,Nothern Ireland,7423.9704
Major power producers,Coal,2004,England,104879.7443
Major power producers,Oil,2004,England,1387.0029
Major power producers,Gas,2004,England,111397.9846
Major power producers,Nuclear,2004,England,54598.3428
Major power producers,Hydro natural flow,2004,England,15.2844
Major power producers,Wind,2004,England,NA
Major power producers,Solar,2004,England,NA
Major power producers,Bioenergy,2004,England,1420.4296
Major power producers,Other fuels,2004,England,NA
Major power producers,Hydro pumped storage,2004,England,0
Major power producers,Total major power producers,2004,England,273698.7886
Other generators,Coal,2004,England,3866.076
Other generators,Oil,2004,England,1439.5828
Other generators,Gas,2004,England,13349.4253
Other generators,Hydro natural flow,2004,England,34.9146
Other generators,Wind,2004,England,400.6149
Other generators,Solar,2004,England,NA
Other generators,Shoreline wave and tidal,2004,England,NA
Other generators,Bioenergy,2004,England,5241.4316
Other generators,Other fuels,2004,England,3112.2104
Other generators,Total other generators,2004,England,27444.2555
All generating companies,Fossil fuels,2004,England,236319.8158
All generating companies,Coal,2004,England,108745.8203
All generating companies,Oil,2004,England,2826.5857
All generating companies,Gas,2004,England,124747.4098
All generating companies,Nuclear,2004,England,54633.2574
All generating companies,Renewables,2004,England,7112.6751
All generating companies,Hydro natural flow,2004,England,50.199
All generating companies,Wind,2004,England,400.6149
All generating companies,Solar,2004,England,NA
All generating companies,Shoreline wave and tidal,2004,England,NA
All generating companies,Bioenergy,2004,England,6661.8612
All generating companies,Other fuels,2004,England,3112.2104
All generating companies,Pumped storage,2004,England,0
All generating companies,Total all generating companies,2004,England,298065.7483
Major power producers,Coal,2005,UK,130689.9879
Major power producers,Oil,2005,UK,2921.1573
Major power producers,Gas,2005,UK,137482.7421
Major power producers,Nuclear,2005,UK,81618.1028
Major power producers,Hydro natural flow,2005,UK,3825.9
Major power producers,Wind,2005,UK,NA
Major power producers,Solar,2005,UK,NA
Major power producers,Bioenergy,2005,UK,2744.4839
Major power producers,Other fuels,2005,UK,NA
Major power producers,Hydro pumped storage,2005,UK,2929.7944
Major power producers,Total major power producers,2005,UK,362212.1686
Other generators,Coal,2005,UK,3947.003
Other generators,Oil,2005,UK,2416.9941
Other generators,Gas,2005,UK,15159.249
Other generators,Hydro natural flow,2005,UK,1095.629
Other generators,Wind,2005,UK,2912.0966
Other generators,Solar,2005,UK,NA
Other generators,Shoreline wave and tidal,2005,UK,NA
Other generators,Bioenergy,2005,UK,6362.3091
Other generators,Other fuels,2005,UK,4254.2679
Other generators,Total other generators,2005,UK,36147.5486
All generating companies,Fossil fuels,2005,UK,292617.1335
All generating companies,Coal,2005,UK,134636.9909
All generating companies,Oil,2005,UK,5338.1514
All generating companies,Gas,2005,UK,152641.9911
All generating companies,Nuclear,2005,UK,82713.7318
All generating companies,Renewables,2005,UK,16940.4186
All generating companies,Hydro natural flow,2005,UK,4921.529
All generating companies,Wind,2005,UK,2912.0966
All generating companies,Solar,2005,UK,NA
All generating companies,Shoreline wave and tidal,2005,UK,NA
All generating companies,Bioenergy,2005,UK,9106.793
All generating companies,Other fuels,2005,UK,4254.2679
All generating companies,Pumped storage,2005,UK,2929.7944
All generating companies,Total all generating companies,2005,UK,392271.2839
Major power producers,Coal,2005,Scotland,12091.7149
Major power producers,Oil,2005,Scotland,555.8701
Major power producers,Gas,2005,Scotland,6250.2442
Major power producers,Nuclear,2005,Scotland,18680.7083
Major power producers,Hydro natural flow,2005,Scotland,3626.3698
Major power producers,Wind,2005,Scotland,NA
Major power producers,Solar,2005,Scotland,NA
Major power producers,Bioenergy,2005,Scotland,0
Major power producers,Other fuels,2005,Scotland,NA
Major power producers,Hydro pumped storage,2005,Scotland,642.6936
Major power producers,Total major power producers,2005,Scotland,41847.6008
Other generators,Coal,2005,Scotland,50.5898
Other generators,Oil,2005,Scotland,1347.0685
Other generators,Gas,2005,Scotland,3116.6241
Other generators,Hydro natural flow,2005,Scotland,986.1388
Other generators,Wind,2005,Scotland,1280.9
Other generators,Solar,2005,Scotland,NA
Other generators,Shoreline wave and tidal,2005,Scotland,NA
Other generators,Bioenergy,2005,Scotland,592.6
Other generators,Other fuels,2005,Scotland,15.8884
Other generators,Total other generators,2005,Scotland,7389.8096
All generating companies,Fossil fuels,2005,Scotland,23412.1116
All generating companies,Coal,2005,Scotland,12142.3048
All generating companies,Oil,2005,Scotland,1902.9385
All generating companies,Gas,2005,Scotland,9366.8683
All generating companies,Nuclear,2005,Scotland,19666.847
All generating companies,Renewables,2005,Scotland,6486.0086
All generating companies,Hydro natural flow,2005,Scotland,4612.5086
All generating companies,Wind,2005,Scotland,1280.9
All generating companies,Solar,2005,Scotland,NA
All generating companies,Shoreline wave and tidal,2005,Scotland,NA
All generating companies,Bioenergy,2005,Scotland,592.6
All generating companies,Other fuels,2005,Scotland,15.8884
All generating companies,Pumped storage,2005,Scotland,642.6936
All generating companies,Total all generating companies,2005,Scotland,49564.9672
Major power producers,Coal,2005,Wales,6771.6906
Major power producers,Oil,2005,Wales,0
Major power producers,Gas,2005,Wales,14983.9676
Major power producers,Nuclear,2005,Wales,7842
Major power producers,Hydro natural flow,2005,Wales,193.2806
Major power producers,Wind,2005,Wales,NA
Major power producers,Solar,2005,Wales,NA
Major power producers,Bioenergy,2005,Wales,175.9944
Major power producers,Other fuels,2005,Wales,NA
Major power producers,Hydro pumped storage,2005,Wales,2287.1008
Major power producers,Total major power producers,2005,Wales,32254.0341
Other generators,Coal,2005,Wales,0
Other generators,Oil,2005,Wales,41.5101
Other generators,Gas,2005,Wales,942.47
Other generators,Hydro natural flow,2005,Wales,52.2194
Other generators,Wind,2005,Wales,715.3
Other generators,Solar,2005,Wales,NA
Other generators,Shoreline wave and tidal,2005,Wales,NA
Other generators,Bioenergy,2005,Wales,59.1056
Other generators,Other fuels,2005,Wales,588.5986
Other generators,Total other generators,2005,Wales,2399.2038
All generating companies,Fossil fuels,2005,Wales,22739.6384
All generating companies,Coal,2005,Wales,6771.6906
All generating companies,Oil,2005,Wales,41.5101
All generating companies,Gas,2005,Wales,15926.4377
All generating companies,Nuclear,2005,Wales,7894.2194
All generating companies,Renewables,2005,Wales,1195.9
All generating companies,Hydro natural flow,2005,Wales,245.5
All generating companies,Wind,2005,Wales,715.3
All generating companies,Solar,2005,Wales,NA
All generating companies,Shoreline wave and tidal,2005,Wales,NA
All generating companies,Bioenergy,2005,Wales,235.1
All generating companies,Other fuels,2005,Wales,588.5986
All generating companies,Pumped storage,2005,Wales,2287.1008
All generating companies,Total all generating companies,2005,Wales,31829.7579
Major power producers,Coal,2005,Nothern Ireland,2454.9512
Major power producers,Oil,2005,Nothern Ireland,330.78
Major power producers,Gas,2005,Nothern Ireland,6453.4568
Major power producers,Nuclear,2005,Nothern Ireland,0
Major power producers,Hydro natural flow,2005,Nothern Ireland,0
Major power producers,Wind,2005,Nothern Ireland,NA
Major power producers,Solar,2005,Nothern Ireland,NA
Major power producers,Bioenergy,2005,Nothern Ireland,0
Major power producers,Other fuels,2005,Nothern Ireland,NA
Major power producers,Hydro pumped storage,2005,Nothern Ireland,0
Major power producers,Total major power producers,2005,Nothern Ireland,9239.1881
Other generators,Coal,2005,Nothern Ireland,33.153
Other generators,Oil,2005,Nothern Ireland,35.7237
Other generators,Gas,2005,Nothern Ireland,40.8704
Other generators,Hydro natural flow,2005,Nothern Ireland,13.7
Other generators,Wind,2005,Nothern Ireland,253.3
Other generators,Solar,2005,Nothern Ireland,NA
Other generators,Shoreline wave and tidal,2005,Nothern Ireland,NA
Other generators,Bioenergy,2005,Nothern Ireland,4.3
Other generators,Other fuels,2005,Nothern Ireland,0
Other generators,Total other generators,2005,Nothern Ireland,381.0471
All generating companies,Fossil fuels,2005,Nothern Ireland,9348.9352
All generating companies,Coal,2005,Nothern Ireland,2488.1042
All generating companies,Oil,2005,Nothern Ireland,366.5037
All generating companies,Gas,2005,Nothern Ireland,6494.3272
All generating companies,Nuclear,2005,Nothern Ireland,13.7
All generating companies,Renewables,2005,Nothern Ireland,271.3
All generating companies,Hydro natural flow,2005,Nothern Ireland,13.7
All generating companies,Wind,2005,Nothern Ireland,253.3
All generating companies,Solar,2005,Nothern Ireland,NA
All generating companies,Shoreline wave and tidal,2005,Nothern Ireland,NA
All generating companies,Bioenergy,2005,Nothern Ireland,4.3
All generating companies,Other fuels,2005,Nothern Ireland,0
All generating companies,Pumped storage,2005,Nothern Ireland,0
All generating companies,Total all generating companies,2005,Nothern Ireland,9633.9352
Major power producers,Coal,2005,England,109371.6312
Major power producers,Oil,2005,England,2034.5072
Major power producers,Gas,2005,England,109795.0735
Major power producers,Nuclear,2005,England,55095.3946
Major power producers,Hydro natural flow,2005,England,6.2496
Major power producers,Wind,2005,England,NA
Major power producers,Solar,2005,England,NA
Major power producers,Bioenergy,2005,England,2568.4895
Major power producers,Other fuels,2005,England,NA
Major power producers,Hydro pumped storage,2005,England,0
Major power producers,Total major power producers,2005,England,278871.3455
Other generators,Coal,2005,England,3863.2602
Other generators,Oil,2005,England,992.6918
Other generators,Gas,2005,England,11059.2845
Other generators,Hydro natural flow,2005,England,43.5708
Other generators,Wind,2005,England,662.5966
Other generators,Solar,2005,England,NA
Other generators,Shoreline wave and tidal,2005,England,NA
Other generators,Bioenergy,2005,England,5706.3035
Other generators,Other fuels,2005,England,3649.7808
Other generators,Total other generators,2005,England,25977.4882
All generating companies,Fossil fuels,2005,England,237116.4483
All generating companies,Coal,2005,England,113234.8913
All generating companies,Oil,2005,England,3027.199
All generating companies,Gas,2005,England,120854.3579
All generating companies,Nuclear,2005,England,55138.9654
All generating companies,Renewables,2005,England,8987.21
All generating companies,Hydro natural flow,2005,England,49.8204
All generating companies,Wind,2005,England,662.5966
All generating companies,Solar,2005,England,NA
All generating companies,Shoreline wave and tidal,2005,England,NA
All generating companies,Bioenergy,2005,England,8274.793
All generating companies,Other fuels,2005,England,3649.7808
All generating companies,Pumped storage,2005,England,0
All generating companies,Total all generating companies,2005,England,301242.6237
Major power producers,Coal,2006,UK,144947.016
Major power producers,Oil,2006,UK,3722.7681
Major power producers,Gas,2006,UK,126637.2396
Major power producers,Nuclear,2006,UK,75450.6569
Major power producers,Hydro natural flow,2006,UK,3693.2993
Major power producers,Wind,2006,UK,NA
Major power producers,Solar,2006,UK,NA
Major power producers,Bioenergy,2006,UK,2928.483
Major power producers,Other fuels,2006,UK,NA
Major power producers,Hydro pumped storage,2006,UK,3852.6022
Major power producers,Total major power producers,2006,UK,361232.0652
Other generators,Coal,2006,UK,3902.595
Other generators,Oil,2006,UK,2450.3804
Other generators,Gas,2006,UK,14190.6244
Other generators,Hydro natural flow,2006,UK,899.853
Other generators,Wind,2006,UK,4235.7526
Other generators,Solar,2006,UK,NA
Other generators,Shoreline wave and tidal,2006,UK,NA
Other generators,Bioenergy,2006,UK,6348.6387
Other generators,Other fuels,2006,UK,4022.0354
Other generators,Total other generators,2006,UK,36049.8794
All generating companies,Fossil fuels,2006,UK,295850.6235
All generating companies,Coal,2006,UK,148849.611
All generating companies,Oil,2006,UK,6173.1485
All generating companies,Gas,2006,UK,140827.864
All generating companies,Nuclear,2006,UK,76350.5099
All generating companies,Renewables,2006,UK,18106.0265
All generating companies,Hydro natural flow,2006,UK,4593.1523
All generating companies,Wind,2006,UK,4235.7526
All generating companies,Solar,2006,UK,NA
All generating companies,Shoreline wave and tidal,2006,UK,NA
All generating companies,Bioenergy,2006,UK,9277.1216
All generating companies,Other fuels,2006,UK,4022.0354
All generating companies,Pumped storage,2006,UK,3852.6022
All generating companies,Total all generating companies,2006,UK,390307.16
Major power producers,Coal,2006,Scotland,17487.9767
Major power producers,Oil,2006,Scotland,913.9272
Major power producers,Gas,2006,Scotland,8346.2182
Major power producers,Nuclear,2006,Scotland,14140.9319
Major power producers,Hydro natural flow,2006,Scotland,3454.1507
Major power producers,Wind,2006,Scotland,NA
Major power producers,Solar,2006,Scotland,NA
Major power producers,Bioenergy,2006,Scotland,0
Major power producers,Other fuels,2006,Scotland,NA
Major power producers,Hydro pumped storage,2006,Scotland,1184.305
Major power producers,Total major power producers,2006,Scotland,45527.5095
Other generators,Coal,2006,Scotland,61.1166
Other generators,Oil,2006,Scotland,1275.2972
Other generators,Gas,2006,Scotland,1866.1841
Other generators,Hydro natural flow,2006,Scotland,770.7493
Other generators,Wind,2006,Scotland,2022.9
Other generators,Solar,2006,Scotland,NA
Other generators,Shoreline wave and tidal,2006,Scotland,NA
Other generators,Bioenergy,2006,Scotland,715
Other generators,Other fuels,2006,Scotland,11.3338
Other generators,Total other generators,2006,Scotland,6722.581
All generating companies,Fossil fuels,2006,Scotland,29950.7199
All generating companies,Coal,2006,Scotland,17549.0932
All generating companies,Oil,2006,Scotland,2189.2244
All generating companies,Gas,2006,Scotland,10212.4022
All generating companies,Nuclear,2006,Scotland,14911.6812
All generating companies,Renewables,2006,Scotland,6962.8
All generating companies,Hydro natural flow,2006,Scotland,4224.9
All generating companies,Wind,2006,Scotland,2022.9
All generating companies,Solar,2006,Scotland,NA
All generating companies,Shoreline wave and tidal,2006,Scotland,NA
All generating companies,Bioenergy,2006,Scotland,715
All generating companies,Other fuels,2006,Scotland,11.3338
All generating companies,Pumped storage,2006,Scotland,1184.305
All generating companies,Total all generating companies,2006,Scotland,51825.2011
Major power producers,Coal,2006,Wales,8858.7792
Major power producers,Oil,2006,Wales,0
Major power producers,Gas,2006,Wales,13271.7554
Major power producers,Nuclear,2006,Wales,7009.762
Major power producers,Hydro natural flow,2006,Wales,225.7872
Major power producers,Wind,2006,Wales,NA
Major power producers,Solar,2006,Wales,NA
Major power producers,Bioenergy,2006,Wales,168.8941
Major power producers,Other fuels,2006,Wales,NA
Major power producers,Hydro pumped storage,2006,Wales,2668.2021
Major power producers,Total major power producers,2006,Wales,32203.1799
Other generators,Coal,2006,Wales,0
Other generators,Oil,2006,Wales,104.9521
Other generators,Gas,2006,Wales,1667.9171
Other generators,Hydro natural flow,2006,Wales,49.2128
Other generators,Wind,2006,Wales,867
Other generators,Solar,2006,Wales,NA
Other generators,Shoreline wave and tidal,2006,Wales,NA
Other generators,Bioenergy,2006,Wales,92.8059
Other generators,Other fuels,2006,Wales,650.8861
Other generators,Total other generators,2006,Wales,3432.774
All generating companies,Fossil fuels,2006,Wales,23903.4038
All generating companies,Coal,2006,Wales,8858.7792
All generating companies,Oil,2006,Wales,104.9521
All generating companies,Gas,2006,Wales,14939.6725
All generating companies,Nuclear,2006,Wales,7058.9748
All generating companies,Renewables,2006,Wales,1403.7
All generating companies,Hydro natural flow,2006,Wales,275
All generating companies,Wind,2006,Wales,867
All generating companies,Solar,2006,Wales,NA
All generating companies,Shoreline wave and tidal,2006,Wales,NA
All generating companies,Bioenergy,2006,Wales,261.7
All generating companies,Other fuels,2006,Wales,650.8861
All generating companies,Pumped storage,2006,Wales,2668.2021
All generating companies,Total all generating companies,2006,Wales,32366.0786
Major power producers,Coal,2006,Nothern Ireland,2701.2327
Major power producers,Oil,2006,Nothern Ireland,286.3297
Major power producers,Gas,2006,Nothern Ireland,6799.3061
Major power producers,Nuclear,2006,Nothern Ireland,0
Major power producers,Hydro natural flow,2006,Nothern Ireland,0
Major power producers,Wind,2006,Nothern Ireland,NA
Major power producers,Solar,2006,Nothern Ireland,NA
Major power producers,Bioenergy,2006,Nothern Ireland,0
Major power producers,Other fuels,2006,Nothern Ireland,NA
Major power producers,Hydro pumped storage,2006,Nothern Ireland,0
Major power producers,Total major power producers,2006,Nothern Ireland,9786.8686
Other generators,Coal,2006,Nothern Ireland,35.357
Other generators,Oil,2006,Nothern Ireland,35.6289
Other generators,Gas,2006,Nothern Ireland,38.0826
Other generators,Hydro natural flow,2006,Nothern Ireland,31.9
Other generators,Wind,2006,Nothern Ireland,299.1
Other generators,Solar,2006,Nothern Ireland,NA
Other generators,Shoreline wave and tidal,2006,Nothern Ireland,NA
Other generators,Bioenergy,2006,Nothern Ireland,19.1
Other generators,Other fuels,2006,Nothern Ireland,2
Other generators,Total other generators,2006,Nothern Ireland,461.1685
All generating companies,Fossil fuels,2006,Nothern Ireland,9895.9371
All generating companies,Coal,2006,Nothern Ireland,2736.5897
All generating companies,Oil,2006,Nothern Ireland,321.9587
All generating companies,Gas,2006,Nothern Ireland,6837.3887
All generating companies,Nuclear,2006,Nothern Ireland,31.9
All generating companies,Renewables,2006,Nothern Ireland,350.1
All generating companies,Hydro natural flow,2006,Nothern Ireland,31.9
All generating companies,Wind,2006,Nothern Ireland,299.1
All generating companies,Solar,2006,Nothern Ireland,NA
All generating companies,Shoreline wave and tidal,2006,Nothern Ireland,NA
All generating companies,Bioenergy,2006,Nothern Ireland,19.1
All generating companies,Other fuels,2006,Nothern Ireland,2
All generating companies,Pumped storage,2006,Nothern Ireland,0
All generating companies,Total all generating companies,2006,Nothern Ireland,10277.9371
Major power producers,Coal,2006,England,115899.0275
Major power producers,Oil,2006,England,2522.5112
Major power producers,Gas,2006,England,98219.9599
Major power producers,Nuclear,2006,England,54299.9631
Major power producers,Hydro natural flow,2006,England,13.3614
Major power producers,Wind,2006,England,NA
Major power producers,Solar,2006,England,NA
Major power producers,Bioenergy,2006,England,2759.5889
Major power producers,Other fuels,2006,England,NA
Major power producers,Hydro pumped storage,2006,England,0.0952
Major power producers,Total major power producers,2006,England,273714.5072
Other generators,Coal,2006,England,3806.1214
Other generators,Oil,2006,England,1034.5021
Other generators,Gas,2006,England,10618.4407
Other generators,Hydro natural flow,2006,England,47.9909
Other generators,Wind,2006,England,1046.7526
Other generators,Solar,2006,England,NA
Other generators,Shoreline wave and tidal,2006,England,NA
Other generators,Bioenergy,2006,England,5521.7328
Other generators,Other fuels,2006,England,3357.8155
Other generators,Total other generators,2006,England,25433.3559
All generating companies,Fossil fuels,2006,England,232100.5628
All generating companies,Coal,2006,England,119705.1489
All generating companies,Oil,2006,England,3557.0133
All generating companies,Gas,2006,England,108838.4006
All generating companies,Nuclear,2006,England,54347.9539
All generating companies,Renewables,2006,England,9389.4265
All generating companies,Hydro natural flow,2006,England,61.3523
All generating companies,Wind,2006,England,1046.7526
All generating companies,Solar,2006,England,NA
All generating companies,Shoreline wave and tidal,2006,England,NA
All generating companies,Bioenergy,2006,England,8281.3216
All generating companies,Other fuels,2006,England,3357.8155
All generating companies,Pumped storage,2006,England,0.0952
All generating companies,Total all generating companies,2006,England,295837.9433
Major power producers,Coal,2007,UK,132074.1619
Major power producers,Oil,2007,UK,2955.3868
Major power producers,Gas,2007,UK,149345.946
Major power producers,Nuclear,2007,UK,63028.3427
Major power producers,Hydro natural flow,2007,UK,4143.9658
Major power producers,Wind,2007,UK,3568.8368
Major power producers,Solar,2007,UK,NA
Major power producers,Bioenergy,2007,UK,2341.3441
Major power producers,Other fuels,2007,UK,NA
Major power producers,Hydro pumped storage,2007,UK,3859.2262
Major power producers,Total major power producers,2007,UK,361317.2102
Other generators,Coal,2007,UK,3869.7619
Other generators,Oil,2007,UK,2092.9101
Other generators,Gas,2007,UK,16447.1383
Other generators,Hydro natural flow,2007,UK,933.3386
Other generators,Wind,2007,UK,1719.0347
Other generators,Solar,2007,UK,NA
Other generators,Shoreline wave and tidal,2007,UK,NA
Other generators,Bioenergy,2007,UK,6983.1704
Other generators,Other fuels,2007,UK,3467.3863
Other generators,Total other generators,2007,UK,35512.7401
All generating companies,Fossil fuels,2007,UK,306785.3049
All generating companies,Coal,2007,UK,135943.9238
All generating companies,Oil,2007,UK,5048.2969
All generating companies,Gas,2007,UK,165793.0842
All generating companies,Nuclear,2007,UK,63961.6813
All generating companies,Renewables,2007,UK,19689.6903
All generating companies,Hydro natural flow,2007,UK,5077.3043
All generating companies,Wind,2007,UK,5287.8715
All generating companies,Solar,2007,UK,NA
All generating companies,Shoreline wave and tidal,2007,UK,NA
All generating companies,Bioenergy,2007,UK,9324.5145
All generating companies,Other fuels,2007,UK,3467.3863
All generating companies,Pumped storage,2007,UK,3859.2262
All generating companies,Total all generating companies,2007,UK,390436.6764
Major power producers,Coal,2007,Scotland,13801.894
Major power producers,Oil,2007,Scotland,379.1216
Major power producers,Gas,2007,Scotland,8938.3594
Major power producers,Nuclear,2007,Scotland,12343.7045
Major power producers,Hydro natural flow,2007,Scotland,3893.6562
Major power producers,Wind,2007,Scotland,1981.217
Major power producers,Solar,2007,Scotland,NA
Major power producers,Bioenergy,2007,Scotland,0
Major power producers,Other fuels,2007,Scotland,NA
Major power producers,Hydro pumped storage,2007,Scotland,1198.1198
Major power producers,Total major power producers,2007,Scotland,42536.0726
Other generators,Coal,2007,Scotland,53.9774
Other generators,Oil,2007,Scotland,1125.1075
Other generators,Gas,2007,Scotland,1992.1801
Other generators,Hydro natural flow,2007,Scotland,799.2838
Other generators,Wind,2007,Scotland,662.783
Other generators,Solar,2007,Scotland,NA
Other generators,Shoreline wave and tidal,2007,Scotland,NA
Other generators,Bioenergy,2007,Scotland,889.2084
Other generators,Other fuels,2007,Scotland,20.9963
Other generators,Total other generators,2007,Scotland,5543.5364
All generating companies,Fossil fuels,2007,Scotland,26290.6401
All generating companies,Coal,2007,Scotland,13855.8715
All generating companies,Oil,2007,Scotland,1504.2291
All generating companies,Gas,2007,Scotland,10930.5395
All generating companies,Nuclear,2007,Scotland,13142.9882
All generating companies,Renewables,2007,Scotland,8226.1484
All generating companies,Hydro natural flow,2007,Scotland,4692.94
All generating companies,Wind,2007,Scotland,2644
All generating companies,Solar,2007,Scotland,NA
All generating companies,Shoreline wave and tidal,2007,Scotland,NA
All generating companies,Bioenergy,2007,Scotland,889.2084
All generating companies,Other fuels,2007,Scotland,20.9963
All generating companies,Pumped storage,2007,Scotland,1198.1198
All generating companies,Total all generating companies,2007,Scotland,47659.7767
Major power producers,Coal,2007,Wales,5121.3612
Major power producers,Oil,2007,Wales,0
Major power producers,Gas,2007,Wales,15461.1927
Major power producers,Nuclear,2007,Wales,5683.978
Major power producers,Hydro natural flow,2007,Wales,232.59
Major power producers,Wind,2007,Wales,600.4562
Major power producers,Solar,2007,Wales,NA
Major power producers,Bioenergy,2007,Wales,18.2943
Major power producers,Other fuels,2007,Wales,NA
Major power producers,Hydro pumped storage,2007,Wales,2661.1064
Major power producers,Total major power producers,2007,Wales,29778.9787
Other generators,Coal,2007,Wales,0
Other generators,Oil,2007,Wales,90.8096
Other generators,Gas,2007,Wales,1721.1575
Other generators,Hydro natural flow,2007,Wales,51.11
Other generators,Wind,2007,Wales,263.5438
Other generators,Solar,2007,Wales,NA
Other generators,Shoreline wave and tidal,2007,Wales,NA
Other generators,Bioenergy,2007,Wales,204.7177
Other generators,Other fuels,2007,Wales,577.8
Other generators,Total other generators,2007,Wales,2909.1387
All generating companies,Fossil fuels,2007,Wales,22394.5211
All generating companies,Coal,2007,Wales,5121.3612
All generating companies,Oil,2007,Wales,90.8096
All generating companies,Gas,2007,Wales,17182.3502
All generating companies,Nuclear,2007,Wales,5735.088
All generating companies,Renewables,2007,Wales,1370.712
All generating companies,Hydro natural flow,2007,Wales,283.7
All generating companies,Wind,2007,Wales,864
All generating companies,Solar,2007,Wales,NA
All generating companies,Shoreline wave and tidal,2007,Wales,NA
All generating companies,Bioenergy,2007,Wales,223.012
All generating companies,Other fuels,2007,Wales,577.8
All generating companies,Pumped storage,2007,Wales,2661.1064
All generating companies,Total all generating companies,2007,Wales,29500.3211
Major power producers,Coal,2007,Nothern Ireland,1852.3298
Major power producers,Oil,2007,Nothern Ireland,161.9567
Major power producers,Gas,2007,Nothern Ireland,6573.8087
Major power producers,Nuclear,2007,Nothern Ireland,0
Major power producers,Hydro natural flow,2007,Nothern Ireland,0
Major power producers,Wind,2007,Nothern Ireland,217.902
Major power producers,Solar,2007,Nothern Ireland,NA
Major power producers,Bioenergy,2007,Nothern Ireland,0
Major power producers,Other fuels,2007,Nothern Ireland,NA
Major power producers,Hydro pumped storage,2007,Nothern Ireland,0
Major power producers,Total major power producers,2007,Nothern Ireland,8805.9972
Other generators,Coal,2007,Nothern Ireland,34.867
Other generators,Oil,2007,Nothern Ireland,35.3552
Other generators,Gas,2007,Nothern Ireland,37.4
Other generators,Hydro natural flow,2007,Nothern Ireland,29.76
Other generators,Wind,2007,Nothern Ireland,135.298
Other generators,Solar,2007,Nothern Ireland,NA
Other generators,Shoreline wave and tidal,2007,Nothern Ireland,NA
