"REPD Ref","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
489,"Under Construction","Allt na Moine","Small Hydro",2,"Highland","S12000017"
926,"Awaiting Construction","Binn Eco Park","Advanced Conversion Technologies",4.6,"Perth and Kinross","S12000048"
1007,"Under Construction","Coatbridge Material Recovery and Renewable Energy Facility","Advanced Conversion Technologies",25,"North Lanarkshire","S12000050"
1009,"Under Construction","South Clyde Energy Centre","EfW Incineration",20,"Glasgow City","S12000049"
2415,"Awaiting Construction","Sound of Islay","Tidal Barrage and Tidal Stream",10,"Offshore"," "
2416,"Application Submitted","Brims Tidal Array (Cantick Head)","Tidal Barrage and Tidal Stream",200,"Orkney Islands","S12000023"
2527,"Awaiting Construction","Inch Cape","Wind Offshore",1080,"Offshore"," "
2534,"Under Construction","MacColl Offshore Windfarm (Moray East)","Wind Offshore",313.5,"Offshore"," "
2536,"Under Construction","Telford Offshore Windfarm (Moray East)","Wind Offshore",313.5,"Offshore"," "
2537,"Under Construction","Stevenson Offshore Windfarm (Moray East)","Wind Offshore",323,"Offshore"," "
2540,"Under Construction","Seagreen Phase 1 (Alpha)","Wind Offshore",525,"Offshore"," "
2767,"Awaiting Construction","Chirmorie Wind Farm","Wind Onshore",80,"South Ayrshire","S12000028"
2859,"Awaiting Construction","Glen Ullinish Wind Farm","Wind Onshore",42,"Highland","S12000017"
2860,"Under Construction","Strathallan Wind Farm","Wind Onshore",20.7,"Perth and Kinross","S12000048"
2908,"Application Submitted","Daer Wind Farm","Wind Onshore",100,"South Lanarkshire","S12000029"
3328,"Awaiting Construction","Cumberhead West Wind Farm","Wind Onshore",126,"South Lanarkshire","S12000029"
3371,"Awaiting Construction","Aberarder Wind Farm","Wind Onshore",49.9,"Highland","S12000017"
3373,"Awaiting Construction","Beinn Mheadhonach","Wind Onshore",4,"Highland","S12000017"
3383,"Awaiting Construction","Neilston Additional Wind Turbine","Wind Onshore",2.5,"East Renfrewshire","S12000011"
3387,"Under Construction","Beinn an Tuirc Windfarm Phase 3","Wind Onshore",49.9,"Argyll and Bute","S12000035"
3417,"Application Submitted","Shepherd's Rig Wind Farm","Wind Onshore",78.6,"Dumfries and Galloway","S12000006"
3435,"Under Construction","Gordonbush (extension)","Wind Onshore",47,"Highland","S12000017"
3436,"Awaiting Construction","Hill Of Lychrobbie","Wind Onshore",2.4,"Highland","S12000017"
3502,"Awaiting Construction","Enoch Hill","Wind Onshore",52.8,"East Ayrshire","S12000008"
3503,"Awaiting Construction","Benbrack Wind Farm","Wind Onshore",72,"East Ayrshire","S12000008"
3516,"Awaiting Construction","Beaw Field Wind Farm","Wind Onshore",59.5,"Shetland Islands","S12000027"
3586,"Application Submitted","Euchanhead Wind Farm","Wind Onshore",126,"South Lanarkshire","S12000029"
3624,"Awaiting Construction","Cornabo","Wind Onshore",2.7,"Aberdeenshire","S12000034"
3633,"Under Construction","Hazelside farm","Wind Onshore",1.6,"South Lanarkshire","S12000029"
3789,"Awaiting Construction","Akla","Wind Onshore",2.7,"Orkney Islands","S12000023"
3892,"Awaiting Construction","Work Farm Wind Turbines","Wind Onshore",1.8,"Orkney Islands","S12000023"
3901,"Awaiting Construction","Uisenis/Eishken (Muaitheabhal) (Southern Extension)","Wind Onshore",21.6,"Comhairle nan Eilean Siar","S12000013"
3923,"Awaiting Construction","Hill of Carlincraig wind turbines","Wind Onshore",4.6,"Aberdeenshire","S12000034"
4005,"Awaiting Construction","Herscha Wind energy Project (Extension)","Wind Onshore",1.6,"Aberdeenshire","S12000034"
4128,"Under Construction","Sneddon Law Community Wind Farm","Wind Onshore",45,"East Ayrshire","S12000008"
4213,"Under Construction","Greengairs East Wind Farm","Wind Onshore",24,"North Lanarkshire","S12000050"
4265,"Awaiting Construction","Braemore","Wind Onshore",54,"Highland","S12000017"
4300,"Under Construction","Creag Riabhach Wind Farm","Wind Onshore",72.6,"Highland","S12000017"
4305,"Awaiting Construction","Meikle Hill wind farm","Wind Onshore",13.8,"Moray","S12000020"
4307,"Under Construction","West Benhar wind farm","Wind Onshore",27.2,"North Lanarkshire","S12000050"
4315,"Under Construction","Sorbie Farm","Wind Onshore",9,"North Ayrshire","S12000021"
4318,"Application Submitted","Yell Wind Farm","Wind Onshore",126,"Shetland Islands","S12000027"
4351,"Awaiting Construction","Camster II","Wind Onshore",38,"Highland","S12000017"
4355,"Awaiting Construction","Crookedstane Farm","Wind Onshore",11.4,"South Lanarkshire","S12000029"
4359,"Awaiting Construction","Dell Wind Farm","Wind Onshore",50,"Highland","S12000017"
4385,"Under Construction","Kennoxhead Wind Farm","Wind Onshore",62,"South Lanarkshire","S12000029"
4389,"Awaiting Construction","Knockshinnoch Wind Farm","Wind Onshore",4,"East Ayrshire","S12000008"
4394,"Awaiting Construction","Lion Hill Wind Farm (Crookedstane Farm 2)","Wind Onshore",11.4,"South Lanarkshire","S12000029"
4418,"Awaiting Construction","Strathy South","Wind Onshore",218.4,"Highland","S12000017"
4448,"Awaiting Construction","Uisenis/Eishken (Muaitheabhal) (East Extension)","Wind Onshore",21.6,"Comhairle nan Eilean Siar","S12000013"
4454,"Awaiting Construction","Knockman Hill Wind Farm","Wind Onshore",5,"Dumfries and Galloway","S12000006"
4491,"Awaiting Construction","BARLOCKHART MOOR - extension","Wind Onshore",8.2,"Dumfries and Galloway","S12000006"
4492,"Awaiting Construction","Glenmuckloch Wind Farm","Wind Onshore",33.6,"Dumfries and Galloway","S12000006"
4523,"Awaiting Construction","Uisenis/Eishken (Muaitheabhal) Wind Farm","Wind Onshore",118.8,"Comhairle nan Eilean Siar","S12000013"
4529,"Under Construction","Torrs Hill","Wind Onshore",4,"Dumfries and Galloway","S12000006"
4577,"Awaiting Construction","Windy Edge Wind Farm","Wind Onshore",27,"Scottish Borders","S12000026"
4578,"Awaiting Construction","Glenkerie Wind Farm Extension","Wind Onshore",15,"Scottish Borders","S12000026"
4584,"Awaiting Construction","Strathy Wood","Wind Onshore",62.4,"Highland","S12000017"
4586,"Under Construction","South Kyle Wind Farm","Wind Onshore",240,"East Ayrshire","S12000008"
4589,"Awaiting Construction","Hill of Towie II Wind Farm","Wind Onshore",48,"Moray","S12000020"
4605,"Under Construction","Blary Hill Wind Farm","Wind Onshore",35,"Argyll and Bute","S12000035"
4615,"Awaiting Construction","Windy Standard III Wind Farm (Brockloch Rig Phase 2)","Wind Onshore",67.5,"Dumfries and Galloway","S12000006"
4628,"Under Construction","Kype Muir Wind Farm Extension","Wind Onshore",75,"South Lanarkshire","S12000029"
4631,"Awaiting Construction","Crystal Rig Wind Farm Phase IV","Wind Onshore",48,"Scottish Borders","S12000026"
4632,"Awaiting Construction","Loganhead Wind Farm","Wind Onshore",25.6,"Dumfries and Galloway","S12000006"
4911,"Awaiting Construction","Drumelzie","Wind Onshore",1.5,"West Lothian","S12000040"
4937,"Awaiting Construction","A'Chruach (Phase 2)","Wind Onshore",4,"Argyll and Bute","S12000035"
4980,"Awaiting Construction","Inner Sound Phase 1B/1C (MeyGen)","Tidal Barrage and Tidal Stream",86,"Orkney Islands","S12000023"
4987,"Awaiting Construction","Land to the north west of Hill of Petty","Wind Onshore",3.6,"Aberdeenshire","S12000034"
4988,"Under Construction","Kirk Hill Wind Farm","Wind Onshore",18.8,"South Ayrshire","S12000028"
5062,"Application Submitted","Land South East Of Auchterhead","Wind Onshore",2.3,"North Lanarkshire","S12000050"
5116,"Awaiting Construction","Larbrax Wind Farm","Wind Onshore",20,"Dumfries and Galloway","S12000006"
5123,"Awaiting Construction","Eascairt Wind Farm","Wind Onshore",26,"Argyll and Bute","S12000035"
5129,"Awaiting Construction","Pencloe Wind Farm","Wind Onshore",85.5,"East Ayrshire","S12000008"
5172,"Awaiting Construction","Strath Tirry Wind Farm","Wind Onshore",22.8,"Highland","S12000017"
5188,"Awaiting Construction","Costa Head Wind Farm","Wind Onshore",16.3,"Orkney Islands","S12000023"
5195,"Awaiting Construction","Golticlay Wind Farm","Wind Onshore",64.6,"Highland","S12000017"
5198,"Awaiting Construction","Hesta Head Wind Farm","Wind Onshore",20.4,"Orkney Islands","S12000023"
5227,"Awaiting Construction","Sanquhar 'Six' Community Wind Farm","Wind Onshore",19.8,"Dumfries and Galloway","S12000006"
5306,"Awaiting Construction","South Priorhill Farm","Wind Onshore",1.5,"South Lanarkshire","S12000029"
5348,"Application Submitted","Forrestfield Wind Farm","Wind Onshore",13.2,"North Lanarkshire","S12000050"
5352,"Under Construction","CalaChem Fine Chemicals (Grangemouth)","EfW Incineration",21.5,"Falkirk","S12000014"
5373,"Awaiting Construction","Lurg Hill Wind Farm","Wind Onshore",15,"Moray","S12000020"
5393,"Under Construction","Douglas West and Dalquhandy Renewable Energy Project","Wind Onshore",49,"South Lanarkshire","S12000029"
5455,"Application Submitted","Cumberhead Wind Farm","Wind Onshore",48,"South Lanarkshire","S12000029"
5569,"Awaiting Construction","Carey Solar Farm","Solar Photovoltaics",10,"Perth and Kinross","S12000048"
5615,"Under Construction","Ness Energy Project","EfW Incineration",11.1,"Aberdeen City","S12000033"
5631,"Awaiting Construction","Carsebank Farm","Solar Photovoltaics",5,"Angus","S12000041"
5655,"Awaiting Construction","Field 730M West Of Queen Street","Solar Photovoltaics",5,"Angus","S12000041"
5784,"Awaiting Construction","Ballochmartin","Solar Photovoltaics",5,"North Ayrshire","S12000021"
5785,"Awaiting Construction","South of Greenwellheads","Solar Photovoltaics",5,"Aberdeenshire","S12000034"
5800,"Awaiting Construction","Land North of Balbeggie Avenue","Solar Photovoltaics",12,"Fife","S12000047"
5845,"Under Construction","Bruxiehall Farm","Solar Photovoltaics",2,"Aberdeenshire","S12000034"
5859,"Awaiting Construction","Mountwest Wind Cluster (resubmission)","Wind Onshore",2.4,"Aberdeenshire","S12000034"
5863,"Awaiting Construction","Forthwind","Wind Offshore",20,"Offshore"," "
5876,"Awaiting Construction","Stoney Hill Farm","Wind Onshore",2,"South Lanarkshire","S12000029"
5902,"Awaiting Construction","Berryhill Farm Solar Array","Solar Photovoltaics",4.8,"North Lanarkshire","S12000050"
5903,"Awaiting Construction","Glenhead Farm Lower Solar Array","Solar Photovoltaics",4.1,"North Lanarkshire","S12000050"
5909,"Awaiting Construction","Glenhead Farm (Upper)","Solar Photovoltaics",5,"North Lanarkshire","S12000050"
5962,"Under Construction","Glen Noe River","Small Hydro",2,"Argyll and Bute","S12000035"
5963,"Awaiting Construction","Land between Lorg Hill, Ewe Hill and Brown Hill","Wind Onshore",32.4,"Dumfries and Galloway","S12000006"
6005,"Awaiting Construction","Limekiln Wind Farm","Wind Onshore",79.8,"Highland","S12000017"
6036,"Awaiting Construction","Lorg Windfarm","Wind Onshore",49.5,"East Ayrshire","S12000008"
6057,"Application Submitted","Glendye Estate","Wind Onshore",104,"Aberdeenshire","S12000034"
6082,"Awaiting Construction","Kenly Wind Farm","Wind Onshore",12.3,"Fife","S12000047"
6113,"Awaiting Construction","Achnabreck","Advanced Conversion Technologies",5.5,"Argyll and Bute","S12000035"
6147,"Awaiting Construction","Pines Burn Wind Farm","Wind Onshore",33,"Scottish Borders","S12000026"
6158,"Awaiting Construction","Moray West Offshore Wind Farm Project","Wind Offshore",882,"Offshore"," "
6159,"Awaiting Construction","Navidale Estate","Wind Onshore",1,"Highland","S12000017"
6171,"Under Construction","Baldovie Industrial Estate (Forties Road)","EfW Incineration",10,"Dundee City","S12000042"
6175,"Awaiting Construction","Over Hill Wind Farm","Wind Onshore",33,"East Ayrshire","S12000008"
6178,"Awaiting Construction","Sandwick North St Community wind turbine","Wind Onshore",5,"Comhairle nan Eilean Siar","S12000013"
6207,"Awaiting Construction","Gilston Hill Wind Farm","Wind Onshore",21,"Scottish Borders","S12000026"
6208,"Awaiting Construction","Tormywheel Wind Farm Extension","Wind Onshore",5,"West Lothian","S12000040"
6214,"Under Construction","Howpark Farm","Wind Onshore",20,"Scottish Borders","S12000026"
6215,"Awaiting Construction","Levenseat Waste Management Facility","Advanced Conversion Technologies",17,"West Lothian","S12000040"
6216,"Awaiting Construction","West Grange Solar Farm","Solar Photovoltaics",5,"Fife","S12000047"
6259,"Application Submitted","Craigneil Hill","Wind Onshore",38,"Aberdeenshire","S12000034"
6262,"Under Construction","Westfield (former Opencast Coal Mine)","EfW Incineration",23.7,"Fife","S12000047"
6264,"Under Construction","Dounreay Trì Floating Wind Demonstration","Wind Offshore",10,"Highland","S12000017"
6275,"Application Submitted","Rothes Wind Farm III","Wind Onshore",150,"Moray","S12000020"
6312,"Awaiting Construction","Hartwood Windfarm","Wind Onshore",21,"North Lanarkshire","S12000050"
6323,"Awaiting Construction","Beinn Thulabaigh Wind Turbine","Wind Onshore",5,"Comhairle nan Eilean Siar","S12000013"
6324,"Under Construction","Burnfoot East Wind Farm (further extension)","Wind Onshore",10.8,"Clackmannanshire","S12000005"
6327,"Awaiting Construction","Longhill Burn Wind Farm","Wind Onshore",45.6,"West Lothian","S12000040"
6341,"Awaiting Construction","Milltown Airfield (Speyslaw)","Solar Photovoltaics",50,"Moray","S12000020"
6362,"Application Submitted","Armadale Wind Farm","Wind Onshore",57.6,"Highland","S12000017"
6363,"Awaiting Construction","Priestgill Wind Farm","Wind Onshore",22.4,"South Lanarkshire","S12000029"
6383,"Awaiting Construction","Wemyss Estate - Randolph Solar Farm & Battery Energy Storage","Solar Photovoltaics",50,"Fife","S12000047"
6384,"Awaiting Construction","Mossy Hill","Wind Onshore",46.8,"Shetland Islands","S12000027"
6398,"Awaiting Construction","North Haddo","Wind Onshore",1.6,"Aberdeenshire","S12000034"
6405,"Awaiting Construction","Blarghour Wind Farm","Wind Onshore",57.8,"Argyll and Bute","S12000035"
6407,"Awaiting Construction","Pauls Hill 2","Wind Onshore",28,"Moray","S12000020"
6416,"Awaiting Construction","Speyslaw Solar Farm","Solar Photovoltaics",20,"Moray","S12000020"
6426,"Under Construction","Neart na Gaoithe","Wind Offshore",450,"Offshore"," "
6432,"Awaiting Construction","Troston Loch","Wind Onshore",67.2,"Dumfries and Galloway","S12000006"
